"Actief";"Categorie";"Tonen op pagina's";"Volgorde";"Vraag (NL)";"Antwoord (NL)";"Vraag (EN)";"Antwoord (EN)";"Beeld (optioneel)";"Alt-tekst NL";"Alt-tekst EN"
"ja";"eventvideo";"eventvideo";"3";"Zitten ondertitels standaard inbegrepen?";"Ja. AI-ondertiteling zit in alle pakketten inbegrepen. Human ondertiteling (98% correct) is beschikbaar als add-on voor Headline en Heroes.";"Are subtitles included as standard?";"Yes. AI subtitling is included in all packages. Human subtitling (98% accuracy) is available as an add-on for Headline and Heroes.";"";"";""
"ja";"eventvideo";"eventvideo";"4";"Hoeveel interviews kan ik verwachten?";"In het Headline-pakket 10–15 één-camera interviews, in Heroes 25–30. Ideaal voor quotes op LinkedIn en content voor je volgende editie.";"How many interviews can I expect?";"The Headline package includes 10–15 single-camera interviews, Heroes 25–30. Ideal for LinkedIn quotes and content for your next edition.";"";"";""
"ja";"eventvideo";"eventvideo";"5";"Kan ik de video dezelfde dag nog online zetten?";"Ja, same-day levering is mogelijk als add-on (vanaf € 425 afhankelijk van pakket). Handig als je direct na afloop wilt posten op social media.";"Can I publish the video on the same day?";"Yes, same-day delivery is available as an add-on (from € 425 depending on package). Useful if you want to post on social media immediately after the event.";"";"";""
"ja";"eventvideo";"eventvideo";"6";"Wie bepaalt wat er in de video komt?";"Dat stemmen we vooraf af in de pre-production meeting. Jij geeft aan welke momenten, sprekers en sfeer belangrijk zijn. Daarna werkt Rolf zelfstandig op locatie.";"Who decides what goes into the video?";"We align this in advance during the pre-production meeting. You indicate which moments, speakers and atmosphere matter. Rolf then works independently on site.";"";"";""
"ja";"voor-wie";"voor-brancheverenigingen";"1";"Wij organiseren maar twee events per jaar. Is dat genoeg voor een samenwerking?";"Jazeker. Eventshoot.nl werkt ook voor verenigingen met minder frequente events. We bespreken vooraf wat je nodig hebt en stemmen het aanbod daarop af.";"We only organise two events per year. Is that enough for a partnership?";"Absolutely. Eventshoot.nl also works with associations that hold events less frequently. We discuss your needs in advance and tailor the offer.";"";"";""
"ja";"voor-wie";"voor-brancheverenigingen";"2";"Kunnen jullie content leveren die onze ledenwerving ondersteunt?";"Ja. Professionele beelden van echte ledendagen en jaarcongressen laten zien wat lidmaatschap waard is. Foto's en video's zijn klaar voor je website, nieuwsbrief en social media.";"Can you deliver content that supports our member recruitment?";"Yes. Professional visuals from real member days and annual congresses show the value of membership. Photos and videos are ready for your website, newsletter and social media.";"";"";""
"ja";"voor-wie";"voor-brancheverenigingen";"3";"Kunnen jullie ook interviews met sprekers of leden verzorgen?";"Ja. Op aanvraag verzorg ik korte interviewopnames met sprekers, bestuurders of leden, als aanvulling op de eventreportage.";"Can you also conduct interviews with speakers or members?";"Yes. On request I produce short interview recordings with speakers, board members or members, as a supplement to the event coverage.";"";"";""
"ja";"voor-wie";"voor-brancheverenigingen";"4";"Hoe snel ontvangen we het materiaal na ons jaarcongres?";"Standaard binnen 48 uur. Same-day levering is ook mogelijk, ideaal als je snel iets op social media wilt zetten terwijl het congres nog trending is.";"How quickly do we receive the material after our annual congress?";"Standard delivery within 48 hours. Same-day delivery is also possible, ideal if you want to post on social media while the congress is still trending.";"";"";""
"ja";"voor-wie";"voor-brancheverenigingen";"5";"Werken jullie samen met onze vaste AV-partner op locatie?";"Ja. Backdrop, podiumlicht, presentatieformat en interviewlocatie worden vooraf afgestemd met techniek. Rolf schakelt soepel met technische teams.";"Do you work with our regular AV partner on site?";"Yes. Backdrop, stage lighting, presentation format and interview location are agreed in advance with the AV team. Rolf works smoothly with technical crews.";"";"";""
"ja";"voor-wie";"voor-brancheverenigingen";"6";"Wat als ons budget beperkt is?";"Neem contact op voor een eerlijk gesprek. Ik denk graag mee in wat haalbaar is, zodat je toch professionele content overhoudt van je belangrijkste event.";"What if our budget is limited?";"Get in touch for an honest conversation. I am happy to think along about what is feasible, so you still get professional content from your most important event.";"";"";""
"ja";"voor-wie";"voor-eventbureaus";"1";"Kunnen jullie als vaste content-partner achter de schermen werken?";"Ja. Eventshoot.nl is gebouwd voor bureaus die een betrouwbare partner zoeken event na event. Ik lees het runsheet, werk zelfstandig en lever wat jij en je klant nodig hebben.";"Can you work as a fixed content partner behind the scenes?";"Yes. Eventshoot.nl is built for agencies looking for a reliable partner event after event. I read the run sheet, work independently and deliver what you and your client need.";"";"";""
"ja";"voor-wie";"voor-eventbureaus";"2";"Leveren jullie white-label, zonder Eventshoot.nl branding?";"Ja. Op aanvraag lever ik content zonder eigen branding, zodat je het onder de naam van jouw bureau aan je klant kunt presenteren.";"Do you deliver white-label, without Eventshoot.nl branding?";"Yes. On request I deliver content without my own branding, so you can present it to your client under your agency name.";"";"";""
"ja";"voor-wie";"voor-eventbureaus";"3";"Hoe kort van tevoren kunnen jullie ingepland worden?";"Dat hangt van de agenda af. Neem zo vroeg mogelijk contact op, maar bel gerust last-minute: 06 251 777 28. Ik doe mijn best als het kan.";"How late can you still be booked?";"That depends on the calendar. Contact me as early as possible, but call for last-minute requests: +31 6 251 777 28. I do my best when it is possible.";"";"";""
"ja";"voor-wie";"voor-eventbureaus";"4";"Moet ik een uitgebreide briefing schrijven?";"Nee. Een kort vooroverleg en het runsheet zijn meestal genoeg. Ik snap hoe de eventwereld werkt en vind mijn weg op locatie.";"Do I need to write an extensive briefing?";"No. A short pre-meeting and the run sheet are usually enough. I understand how the events world works and find my way on site.";"";"";""
"ja";"voor-wie";"voor-eventbureaus";"5";"Kunnen jullie same-day highlights leveren voor de klant?";"Ja. Same-day levering is beschikbaar als add-on. Ideaal als je klant direct na afloop content wil op social media.";"Can you deliver same-day highlights for the client?";"Yes. Same-day delivery is available as an add-on. Ideal if your client wants content on social media immediately after the event.";"";"";""
"ja";"voor-wie";"voor-eventbureaus";"6";"Werken jullie ook buiten Nederland?";"Ja. Ik werk door heel Nederland en op aanvraag ook in het buitenland. Reiskosten worden separaat berekend.";"Do you also work outside the Netherlands?";"Yes. I work throughout the Netherlands and abroad on request. Travel costs are calculated separately.";"";"";""
"ja";"voor-wie";"voor-hotels";"1";"Waarom hebben wij als hotel content van echte events nodig?";"Lege zalen verkopen geen events. Authentieke beelden van echte congressen laten eventplanners zien wat jouw locatie kan als er mensen in de zaal zitten. Dat werkt sterker dan studiofoto's zonder publiek.";"Why do we as a hotel need content from real events?";"Empty rooms do not sell events. Authentic visuals from real congresses show event planners what your venue can do with people in the room. That works better than studio shots without an audience.";"";"";""
"ja";"voor-wie";"voor-hotels";"2";"Moeten wij toestemming vragen aan de eventorganisator?";"Dat regelen we vooraf samen. In de meeste gevallen volstaat een korte melding aan de organisator. Ik werk altijd discreet en professioneel.";"Do we need permission from the event organiser?";"We arrange that together in advance. In most cases a brief notice to the organiser is sufficient. I always work discreetly and professionally.";"";"";""
"ja";"voor-wie";"voor-hotels";"3";"Hoe vaak kunnen we jullie inzetten?";"Dat bepaal je zelf. Per event schakelen kan, maar een vaste samenwerking bij terugkerende congressen geeft doorlopende marketingbeelden van je faciliteiten.";"How often can we use your services?";"That is up to you. Booking per event is possible, but a fixed partnership for recurring congresses provides ongoing marketing visuals of your facilities.";"";"";""
"ja";"voor-wie";"voor-hotels";"4";"Mag de eventorganisator de content ook gebruiken?";"Dat bespreken we vooraf. Het is mogelijk om content te delen met beide partijen. In dat geval stemmen we de rechten en het gebruik af.";"Can the event organiser also use the content?";"We discuss that in advance. It is possible to share content with both parties. In that case we agree on rights and usage.";"";"";""
"ja";"voor-wie";"voor-hotels";"5";"Leveren jullie ook video naast foto?";"Ja. Foto en video kunnen gecombineerd worden, zodat je voor website, social media en salesmateriaal het juiste formaat hebt.";"Do you also deliver video in addition to photo?";"Yes. Photo and video can be combined, so you have the right format for your website, social media and sales materials.";"";"";""
"ja";"voor-wie";"voor-hotels";"6";"Kunnen jullie ook onze lege vergaderzalen professioneel fotograferen?";"Onze focus ligt op events met publiek en sfeer. Voor lege zaalfoto's kun je beter een interieurfotograaf inschakelen. Tijdens echte events leg ik je ruimte op z'n best vast.";"Can you also photograph our empty meeting rooms professionally?";"Our focus is on events with audience and atmosphere. For empty room shots an interior photographer is a better fit. During real events I capture your space at its best.";"";"";""
"ja";"voor-wie";"voor-bedrijven";"1";"Wij organiseren één user conference per jaar. Is dat genoeg?";"Absoluut. Juist dan is het belangrijk dat je er alles uithaalt. Eén productiedag levert een contentbox waar je marketeer maanden mee vooruit kan: foto's, aftermovie, interviews en social cuts.";"We organise one user conference per year. Is that enough?";"Absolutely. That is exactly when it matters to get everything out of it. One production day delivers a content box your marketing team can use for months: photos, aftermovie, interviews and social cuts.";"";"";""
"ja";"voor-wie";"voor-bedrijven";"2";"Onze marketeer heeft weinig tijd na het event. Hoe helpt Eventshoot.nl?";"Alle content wordt kant-en-klaar geleverd in de juiste formaten. Geen extra nabewerking nodig, direct te plaatsen op LinkedIn, je website en in je nieuwsbrief.";"Our marketer has little time after the event. How does Eventshoot.nl help?";"All content is delivered ready-to-use in the right formats. No extra editing needed, publish directly on LinkedIn, your website and in your newsletter.";"";"";""
"ja";"voor-wie";"voor-bedrijven";"3";"Kunnen jullie interviews met klanten of sprekers verzorgen?";"Ja. Het Headline-pakket bevat 10–15 interviews, Heroes 25–30. Handig voor testimonials, LinkedIn-posts en content voor je volgende editie.";"Can you conduct interviews with customers or speakers?";"Yes. The Headline package includes 10–15 interviews, Heroes 25–30. Useful for testimonials, LinkedIn posts and content for your next edition.";"";"";""
"ja";"voor-wie";"voor-bedrijven";"4";"Hoe ver van tevoren moeten we boeken?";"Zo vroeg mogelijk, zeker voor grote events. Neem contact op en we kijken wat de agenda toelaat. Last-minute kan soms ook.";"How far in advance should we book?";"As early as possible, especially for large events. Get in touch and we check what the calendar allows. Last-minute is sometimes possible too.";"";"";""
"ja";"voor-wie";"voor-bedrijven";"5";"Wat is het verschil tussen foto-only en een complete contentbox?";"Foto-only levert je beelden voor website en social. Een complete contentbox voegt aftermovie, interviews en meerdere social formaten toe. Bekijk de pakketten Highlight, Headline en Heroes op de tarievenpagina.";"What is the difference between photo-only and a complete content box?";"Photo-only gives you visuals for website and social. A complete content box adds aftermovie, interviews and multiple social formats. See the Highlight, Headline and Heroes packages on the pricing page.";"";"";""
"ja";"voor-wie";"voor-bedrijven";"6";"Kunnen we de content ook intern gebruiken?";"Ja. Foto's en video's zijn geschikt voor interne communicatie, onboarding, salespresentaties en je jaarverslag.";"Can we also use the content internally?";"Yes. Photos and videos are suitable for internal communications, onboarding, sales presentations and your annual report.";"";"";""
"ja";"tarieven";"tarieven";"1";"Wat kosten de pakketten?";"Highlight € 825 (4 uur), Headline € 2.250 (8 uur, meest gekozen) en Heroes € 3.450 (10 uur, foto + video). Alle prijzen excl. BTW. Reis- en transportkosten separaat.";"What do the packages cost?";"Highlight € 825 (4 hours), Headline € 2,250 (8 hours, most popular) and Heroes € 3,450 (10 hours, photo + video). All prices excl. VAT. Travel and transport costs separate.";"";"";""
"ja";"tarieven";"tarieven";"2";"Wat zit standaard inbegrepen bij elk pakket?";"Een online pre-production meeting, post-production met één correctieronde en AI-ondertiteling op video's (met controle op naamweergave). Reisuren, reis- en transportkosten en btw komen daar bovenop.";"What is included as standard in every package?";"An online pre-production meeting, post-production with one revision round and AI subtitling on videos (with name display checks). Travel time, travel and transport costs and VAT are additional.";"";"";""
"ja";"tarieven";"tarieven";"3";"Zitten reiskosten in de prijs?";"Nee. Reis- en transportkosten worden separaat berekend en vooraf besproken. Eventshoot.nl werkt door heel Nederland.";"Are travel costs included in the price?";"No. Travel and transport costs are calculated separately and discussed in advance. Eventshoot.nl works throughout the Netherlands.";"";"";""
"ja";"tarieven";"tarieven";"4";"Wat zijn de add-ons?";"Same-day levering (€ 425 / € 650 / € 925), human ondertiteling € 13 per minuut (Headline/Heroes), en event promotievideo op offerte.";"What are the add-ons?";"Same-day delivery (€ 425 / € 650 / € 925), human subtitling € 13 per minute (Headline/Heroes), and event promo video on quote.";"";"";""
"ja";"tarieven";"tarieven";"5";"Zit een correctieronde inbegrepen?";"Ja. Post-production met één correctieronde zit in alle pakketten inbegrepen.";"Is a revision round included?";"Yes. Post-production with one revision round is included in all packages.";"";"";""
"ja";"tarieven";"tarieven";"6";"Hoe kies ik het juiste pakket?";"Highlight past bij kleinere events en social-only. Headline is de standaard voor een jaarcongres of ledendag. Heroes is voor hoog-profile congressen met foto én video. Twijfel? Plan een gratis kennismaking van 20 minuten.";"How do I choose the right package?";"Highlight suits smaller events and social-only. Headline is the standard for an annual congress or member day. Heroes is for high-profile congresses with photo and video. Unsure? Schedule a free 20-minute introductory call.";"";"";""
"ja";"algemeen";"over-rolf";"1";"Wie is Rolf Trijber?";"Rolf Trijber is eventfotograaf en videograaf met 40+ jaar ervaring in beeldproductie. Hij is gespecialiseerd in zakelijke events door heel Nederland: congressen, conferenties, ledendagen en bedrijfsbijeenkomsten.";"Who is Rolf Trijber?";"Rolf Trijber is an event photographer and videographer with 40+ years of experience in visual production. He specialises in corporate events throughout the Netherlands: congresses, conferences, member days and business meetings.";"";"";""
"ja";"algemeen";"over-rolf";"2";"Werk je alleen of met een team?";"Rolf is je vaste aanspreekpunt en regisseur op locatie. Voor grotere congressen schakelt hij een vast netwerk van freelancers in: second shooters, videografen en assistenten. Jij hebt één contactpersoon, de productie schaal je mee.";"Do you work alone or with a team?";"Rolf is your fixed point of contact and director on site. For larger congresses he brings in a trusted network of freelancers: second shooters, videographers and assistants. You have one contact person, production scales with your event.";"";"";""
"ja";"algemeen";"over-rolf";"3";"Waarom kiezen klanten voor langetermijnsamenwerking?";"Eventshoot.nl is gebouwd op vaste relaties, niet op eenmalige klussen. Klanten zoals GBL Alliance werken al jaren samen met Rolf. Doorlopende stijl, kennis van je event en meedenken over opzet en vormgeving maken elk jaar het beeld sterker.";"Why do clients choose long-term collaboration?";"Eventshoot.nl is built on lasting relationships, not one-off jobs. Clients such as GBL Alliance have worked with Rolf for years. Consistent style, knowledge of your event and input on setup and design make the visuals stronger every year.";"";"";""
"ja";"algemeen";"over-rolf";"4";"Wat maakt Rolf anders dan een jonge eventfotograaf?";"Veertig jaar productie-ervaring zit ingebakken in wat je krijgt. Geen onzekere handen, geen gemiste momenten. Plus het sociale gemak om te schakelen tussen technici en directiekamer.";"What makes Rolf different from a young event photographer?";"Forty years of production experience is built into what you receive. No uncertain hands, no missed moments. Plus the social ease to switch between technical staff and the boardroom.";"";"";""
"ja";"algemeen";"over-rolf";"5";"Ben je ook grafisch vormgever?";"Ja, Rolf is van origine grafisch vormgever. Compositie, kleur en typografie zitten in elk beeld dat je ontvangt, of het nu een foto, aftermovie of interview is.";"Are you also a graphic designer?";"Yes, Rolf originally trained as a graphic designer. Composition, colour and typography are present in every visual you receive, whether photo, aftermovie or interview.";"";"";""
"ja";"algemeen";"over-rolf";"6";"Hoe neem ik contact op met Rolf?";"Bel 06 251 777 28, mail rolf@eventshoot.nl of plan een kennismaking via de contactpagina. Rolf reageert persoonlijk, geen callcenter.";"How do I contact Rolf?";"Call +31 6 251 777 28, email rolf@eventshoot.nl or schedule an introductory call via the contact page. Rolf responds personally, no call centre.";"";"";""
"ja";"algemeen";"kennismaken";"1";"Hoe snel reageert Rolf?";"Doorgaans binnen een paar uur op werkdagen. Rolf reageert persoonlijk, geen callcenter.";"How quickly does Rolf respond?";"Usually within a few hours on working days. Rolf responds personally, no call centre.";"";"";""
"ja";"algemeen";"kennismaken";"2";"Wat kost een kennismaking?";"Een kennismaking is gratis en vrijblijvend. Geen verplichtingen.";"How much does an introductory call cost?";"An introductory call is free and without obligation. No commitments.";"";"";""
"ja";"algemeen";"kennismaken";"3";"Kan ik ook last-minute boeken?";"Bel direct: 06 251 777 28. Rolf probeert altijd iets te regelen als de agenda het toelaat.";"Can I book last-minute?";"Call directly: +31 6 251 777 28. Rolf always tries to arrange something if the calendar allows.";"";"";""
"ja";"algemeen";"kennismaken";"4";"Wat gebeurt er tijdens een kennismaking van 20 minuten?";"We bespreken je event, doelgroep, gewenste content en welk pakket past. Daarna weet je of we elkaar liggen en wat de vervolgstap is.";"What happens during a 20-minute introductory call?";"We discuss your event, audience, desired content and which package fits. Afterwards you know if we are a good match and what the next step is.";"";"";""
"ja";"algemeen";"kennismaken";"5";"Kan ik een checklist of onepager downloaden?";"Ja. Op de homepage kun je een content checklist downloaden. Tijdens de kennismaking stuur ik je ook graag de onepager met pakketten en werkwijze toe.";"Can I download a checklist or one-pager?";"Yes. On the homepage you can download a content checklist. During the introductory call I am happy to send you the one-pager with packages and workflow.";"";"";""
"ja";"algemeen";"kennismaken";"6";"Werkt Rolf door heel Nederland?";"Ja, Eventshoot.nl is actief door heel Nederland. Reiskosten worden separaat berekend.";"Does Rolf work throughout the Netherlands?";"Yes, Eventshoot.nl is active throughout the Netherlands. Travel costs are calculated separately.";"";"";""
